"panel","model","x","category","value","n_if_needed"
"a","D3U","200","","11.929347826086957","1756"
"a","D3U","400","","12.146739130434783","1788"
"a","D3U","800","","12.296195652173912","1810"
"a","D3U","1600","","12.425271739130435","1829"
"a","D3U","3200","","12.581521739130435","1852"
"a","TMDM","200","","21.324728260869566","3139"
"a","TMDM","400","","60.70652173913044","8936"
"a","TMDM","800","","86.48097826086956","12730"
"a","TMDM","1600","","98.75","14536"
"a","TMDM","3200","","99.90489130434783","14706"
"b","D3U","200","Event deficit","96.0891700092564","12457"
"b","D3U","200","Non-event deficit","3.9108299907435975","507"
"b","TMDM","200","Non-event deficit","99.784129177100425","11556"
"b","TMDM","200","Both deficits","0.2158708228995769","25"
"c","D3U","0","","11.929347826086957","1756"
"c","D3U","1","","15.625","2300"
"c","D3U","2","","18.620923913043477","2741"
"c","D3U","3","","21.345108695652176","3142"
"c","D3U","4","","23.974184782608695","3529"
"c","D3U","5","","26.460597826086957","3895"
"c","D3U","6","","28.960597826086957","4263"
"c","D3U","7","","31.29076086956522","4606"
"c","D3U","8","","33.369565217391305","4912"
"c","D3U","9","","35.44157608695652","5217"
"c","D3U","10","","37.432065217391305","5510"
"c","D3U","11","","39.84375","5865"
"c","D3U","12","","41.86141304347826","6162"
"c","D3U","13","","43.58695652173913","6416"
"c","D3U","14","","45.55027173913044","6705"
"c","D3U","15","","47.47961956521739","6989"
"c","D3U","16","","49.31385869565217","7259"
"c","D3U","17","","50.889945652173914","7491"
"c","D3U","18","","52.703804347826086","7758"
"c","D3U","19","","54.796195652173914","8066"
"c","D3U","20","","56.41304347826087","8304"
"c","D3U","21","","57.92798913043478","8527"
"c","D3U","22","","59.29347826086956","8728"
"c","D3U","23","","60.536684782608695","8911"
"c","D3U","24","","62.01766304347826","9129"
"c","D3U","25","","63.24728260869565","9310"
"c","D3U","26","","64.23913043478261","9456"
"c","D3U","27","","65.19701086956522","9597"
"c","D3U","28","","66.0054347826087","9716"
"c","D3U","29","","66.82065217391305","9836"
"c","D3U","30","","67.75815217391305","9974"
"c","D3U","31","","68.6820652173913","10110"
"c","D3U","32","","69.4429347826087","10222"
"c","D3U","33","","70.23097826086956","10338"
"c","D3U","34","","71.01902173913044","10454"
"c","D3U","35","","71.91576086956522","10586"
"c","D3U","36","","72.97554347826087","10742"
"c","D3U","37","","73.9945652173913","10892"
"c","D3U","38","","74.92527173913044","11029"
"c","D3U","39","","75.88315217391305","11170"
"c","D3U","40","","76.73913043478261","11296"
"c","D3U","41","","77.5475543478261","11415"
"c","D3U","42","","78.11141304347827","11498"
"c","D3U","43","","78.72282608695652","11588"
"c","D3U","44","","79.50407608695652","11703"
"c","D3U","45","","80.16304347826087","11800"
"c","D3U","46","","80.75407608695652","11887"
"c","D3U","47","","81.21603260869566","11955"
"c","D3U","48","","81.84782608695652","12048"
"c","D3U","49","","82.47282608695652","12140"
"c","D3U","50","","82.9211956521739","12206"
"c","D3U","51","","83.45788043478261","12285"
"c","D3U","52","","83.98777173913044","12363"
"c","D3U","53","","84.47690217391305","12435"
"c","D3U","54","","84.87092391304348","12493"
"c","D3U","55","","85.3125","12558"
"c","D3U","56","","85.69972826086956","12615"
"c","D3U","57","","86.10054347826087","12674"
"c","D3U","58","","86.54891304347827","12740"
"c","D3U","59","","86.95652173913044","12800"
"c","D3U","60","","87.30298913043478","12851"
"c","D3U","61","","87.7445652173913","12916"
"c","D3U","62","","88.11820652173913","12971"
"c","D3U","63","","88.40353260869566","13013"
"c","D3U","64","","88.76358695652173","13066"
"c","D3U","65","","89.05570652173913","13109"
"c","D3U","66","","89.30027173913044","13145"
"c","D3U","67","","89.58559782608695","13187"
"c","D3U","68","","89.9320652173913","13238"
"c","D3U","69","","90.16304347826087","13272"
"c","D3U","70","","90.40760869565217","13308"
"c","D3U","71","","90.6929347826087","13350"
"c","D3U","72","","90.9375","13386"
"c","D3U","73","","91.19565217391305","13424"
"c","D3U","74","","91.48097826086956","13466"
"c","D3U","75","","91.71195652173913","13500"
"c","D3U","76","","91.97010869565217","13538"
"c","D3U","77","","92.20788043478261","13573"
"c","D3U","78","","92.48641304347827","13614"
"c","D3U","79","","92.78532608695652","13658"
"c","D3U","80","","93.06385869565217","13699"
"c","D3U","81","","93.35597826086956","13742"
"c","D3U","82","","93.68885869565217","13791"
"c","D3U","83","","93.92663043478261","13826"
"c","D3U","84","","94.15760869565217","13860"
"c","D3U","85","","94.51086956521739","13912"
"c","D3U","86","","94.7350543478261","13945"
"c","D3U","87","","95.03396739130434","13989"
"c","D3U","88","","95.33288043478261","14033"
"c","D3U","89","","95.625","14076"
"c","D3U","90","","95.93070652173913","14121"
"c","D3U","91","","96.24320652173913","14167"
"c","D3U","92","","96.59646739130434","14219"
"c","D3U","93","","96.90217391304348","14264"
"c","D3U","94","","97.16032608695652","14302"
"c","D3U","95","","97.40489130434783","14338"
"c","D3U","96","","97.67663043478261","14378"
"c","D3U","97","","97.91440217391305","14413"
"c","D3U","98","","98.13858695652173","14446"
"c","D3U","99","","98.3491847826087","14477"
"c","D3U","100","","98.55978260869566","14508"
"c","D3U","101","","98.6616847826087","14523"
"c","D3U","102","","98.78396739130434","14541"
"c","D3U","103","","98.91304347826087","14560"
"c","D3U","104","","98.9945652173913","14572"
"c","D3U","105","","99.07608695652173","14584"
"c","D3U","106","","99.15760869565217","14596"
"c","D3U","107","","99.19836956521739","14602"
"c","D3U","108","","99.25951086956522","14611"
"c","D3U","109","","99.30027173913044","14617"
"c","D3U","110","","99.34103260869566","14623"
"c","D3U","111","","99.38858695652173","14630"
"c","D3U","112","","99.41576086956522","14634"
"c","D3U","113","","99.42934782608695","14636"
"c","D3U","114","","99.44972826086956","14639"
"c","D3U","115","","99.4633152173913","14641"
"c","D3U","116","","99.49048913043478","14645"
"c","D3U","117","","99.51086956521739","14648"
"c","D3U","118","","99.53125","14651"
"c","D3U","119","","99.54483695652173","14653"
"c","D3U","120","","99.56521739130434","14656"
"c","D3U","121","","99.56521739130434","14656"
"c","D3U","122","","99.58559782608695","14659"
"c","D3U","123","","99.61277173913044","14663"
"c","D3U","124","","99.62635869565217","14665"
"c","D3U","125","","99.66032608695652","14670"
"c","D3U","126","","99.67391304347827","14672"
"c","D3U","127","","99.69429347826087","14675"
"c","D3U","128","","99.70108695652173","14676"
