"model","metric","route","score","relative_reduction_percent"
"D3U","Brier","Raw","0.06592454483695652","0"
"D3U","Brier","IID","0.0609603551079635","7.5301084615303312043390109900"
"D3U","Brier","Retrieval","0.0394807157368658","40.112266479034713359480398490"
"D3U","CRPS","Raw","239.31539002663132","0"
"D3U","CRPS","IID","239.26411379976145","0.0214262136940561643224249300"
"D3U","CRPS","Retrieval","210.51989184626524","12.032447297752844251388967190"
"D3U","Severity-CRPS","Raw","0.08719247767047536","0"
"D3U","Severity-CRPS","IID","0.08710004456112","0.1060104172113223409915107400"
"D3U","Severity-CRPS","Retrieval","0.07414645365566913","14.962327443097540641623209340"
"D3U","Energy Score","Raw","645.0205310028259","0"
"D3U","Energy Score","IID","644.8618447966397","0.0246017294890578885660879400"
"D3U","Energy Score","Retrieval","570.6192165055063","11.534720357140638107444608260"
